anio,pib_nominal_usd,pib_crecimiento_pct,pib_per_capita_usd,inflacion_pct,tasa_interes_real_pct,desempleo_pct,exportaciones_usd,importaciones_usd,ied_usd,deuda_externa_usd,poblacion,gasto_educacion_pct_pib,gasto_salud_pct_pib,co2_per_capita_ton,gini
1995,,-5.910300,4183.878477,34.999271,14.856676,7.095000,86926529245.220596,79072391841.948502,9526290000.000000,,90862455.000000,3.497470,,3.590683,
1996,,6.218297,4674.367927,34.378383,7.647440,5.465000,106842978990.052994,99589465576.973495,9185600000.000000,,92452702.000000,,,3.698261,52.000000
1997,,7.198876,5567.355995,20.625629,3.742607,4.235000,121731183209.867004,121630321173.561996,12829800000.000000,,94021207.000000,,,3.836662,
1998,,6.185079,5832.693420,15.928395,9.196890,3.733000,129452220228.410004,138306850712.813995,12756764558.000000,,95575245.000000,3.178380,,4.017852,53.300000
1999,,2.755030,6499.971830,16.585617,7.304445,2.598000,147818774071.958008,155258243955.951996,13941043232.000000,,97115707.000000,3.361650,,3.841793,
2000,,5.029284,7524.027138,9.491561,5.628260,2.646000,179810168051.424988,190555678046.710999,18382284821.000000,,98625552.000000,3.808700,4.244365,4.022721,53.400000
2001,,-0.450845,7952.764795,6.367738,5.937646,2.627000,171481946818.045990,184678218802.095001,30060020323.000000,,100099099.000000,4.031340,4.582014,3.943951,
2002,,-0.236588,7983.033984,5.030727,2.567251,3.003000,177144829751.744995,189355937339.412994,20160111120.000000,,101548624.000000,4.243070,4.830428,3.948308,50.600000
2003,,1.185545,7434.074650,4.546900,2.630266,3.455000,181095388468.589996,191730637234.024994,18157929031.000000,,102978515.000000,4.832620,5.539788,4.085414,
2004,,3.565441,7849.667596,4.688409,-0.628122,3.937000,205711767188.403015,220739895659.804993,25142732841.000000,,104394131.000000,4.512040,5.683502,4.123394,50.300000
2005,,2.113247,8671.758918,3.988057,3.598260,3.558000,233862215738.602997,248437817056.730011,25161667683.000000,,105811504.000000,4.633950,5.581101,4.227584,50.900000
2006,,4.805014,9512.635753,3.629468,1.323832,3.566000,270928816792.947998,284933176453.921997,22128838519.000000,,107253666.000000,4.493180,5.406479,4.325712,49.700000
2007,,2.077864,10134.332713,3.966849,1.350298,3.628000,295222517228.833008,313922896028.913025,31020143997.000000,,108774360.000000,4.479200,5.506680,4.328992,
2008,,0.943332,10523.768543,5.124983,2.253201,3.874000,313852456086.708984,340860425741.283020,29771543941.000000,,110374288.000000,4.606070,5.445874,4.279101,50.800000
2009,,-6.295251,8423.569331,5.297356,1.730765,5.356000,250136106515.903992,264902814265.020996,19652900330.000000,,111999721.000000,4.949350,5.847865,4.121221,
2010,,4.971335,9728.800783,4.156727,0.869832,5.303000,320766037580.856018,334456322123.252991,30534439564.000000,,113623895.000000,4.936970,5.489734,4.197558,47.700000
2011,,3.444045,10664.494403,3.407378,-0.718087,5.175000,374148226662.346985,389836031336.216003,23894805893.000000,,115243504.000000,4.904070,5.300930,4.221800,
2012,,3.553211,10744.133524,4.111510,0.132596,4.892000,395854929792.859009,410653072130.987000,18231597858.000000,,116818208.000000,4.883490,5.421405,4.333504,49.600000
2013,,0.852102,11216.800852,3.806391,2.523945,4.921000,408263658323.619019,423928383606.880005,50929783746.000000,,118343573.000000,4.508580,5.577326,4.174431,
2014,,2.503764,11391.377350,4.018616,-0.782519,4.819000,429314956761.169006,445312781390.940002,28438489737.000000,,119784261.000000,5.068080,5.353368,4.014820,48.900000
2015,,2.702323,10021.238611,2.720641,0.207059,4.311000,414495031033.992981,439821695268.005981,36251271532.000000,,121072306.000000,5.050880,5.527386,4.050697,
2016,,1.772493,9097.923977,2.821708,-1.247597,3.853000,409476294705.041992,432376614131.825012,38902371602.000000,,122251351.000000,4.757960,5.384990,4.061045,46.900000
2017,,1.871729,9649.278167,6.041457,0.717765,3.419000,446688309687.408020,469597181245.762024,33138670924.000000,,123400057.000000,4.397520,5.311794,4.057433,
2018,,1.972082,10084.793757,4.899350,2.695227,3.275000,490508969545.437988,517202845542.861023,37867130066.000000,,124573711.000000,4.139440,5.238214,3.838317,46.000000
2019,,-0.392691,10369.555359,3.635961,3.939988,3.477000,502467566320.434021,507718819549.770020,29948988013.000000,,125762982.000000,,5.301346,3.925424,
2020,,-8.354035,8841.270749,3.396834,1.645842,4.440000,439853932827.966003,421735413258.958984,31546860667.000000,,126799054.000000,4.499660,6.052486,3.462471,44.600000
2021,,6.048483,10314.050673,5.689208,0.386354,4.019000,534121610565.453979,559543398297.823975,35617195058.000000,,127648148.000000,4.238240,5.876780,3.546625,
2022,,3.709757,11405.794047,7.896276,1.417985,3.256000,629788673074.199951,672827146643.745972,39206366288.000000,,128613117.000000,4.059880,5.709197,3.521838,43.500000
2023,,3.106796,13830.843849,5.527961,6.606355,2.765000,648642274776.944946,674539332148.826050,30682691037.000000,,129739759.000000,,5.503987,3.665765,
2024,,1.350576,13988.042375,4.722256,7.206698,2.678000,682472609894.051025,698190455615.661987,45474733959.000000,,130861007.000000,,,3.637387,42.600000
2025,,0.561683,13889.233963,3.806687,3.970981,2.673000,726556896246.645020,738162519126.697998,43085064988.000000,,131946900.000000,,,,
